LaunchYear,CountryofOrigin,Spacecraft,Target,Status,Notes,Organization,LaunchDate,Type,CarrierRocket
1957,Soviet Union,Sputnik 1,Moon,Success,The first human-made object to orbit Earth.,,October 4,,Sputnik-PS
1957,Soviet Union,Sputnik 2,Moon,Success,"The first satellite to carry a living animal, a dog named Laika.",,November 3,,Sputnik-PS
1957,USA,Vanguard 1A,Moon,Failed,"The first stage engine was improperly started, causing the vehicle to fall back to the launch pad immediately after launch and explode.[1]",NASA,December 6,,Vanguard TV-3
1958,USA,Explorer 1,Moon,Success,The first American satellite in space.[1],NASA,January 31,,Jupiter-C
1958,USA,Vanguard 1B,Moon,Failed,Control failure caused vehicle breakup at T+57 seconds as vehicle exceeded an angle of attack of 45° due to a control system malfunction.[1],NASA,February 5,,Vanguard TV-3BU
1958,USA,Explorer 2,Moon,Failed,Failed to orbit. Fourth stage did not ignite.[1],NASA,March 5,,Jupiter-C
1958,USA,Vanguard 1C,Moon,Success,"Vanguard 1. Expected to de-orbit in ~2240AD, this and its upper launch stage are the oldest human-made objects in space. Also the first use of solar cells to power a satellite.[1]",NASA,March 17,,Vanguard TV-4
1958,USA,Explorer 3,Moon,Success,Added to data received by Explorer 1.[1],NASA,March 26,,Jupiter-C
1958,Soviet Union,Sputnik 3,Moon,Failed,Rocket engine failure at 12 - 15 km. [2],,April 27,,Sputnik 89A1
1958,USA,Vanguard 2A,Moon,Failed,"Second stage shutdown sequence not completed, preventing proper 3rd stage separation and firing. Did not reach orbit.[1]",NASA,April 29,,Vanguard TV-5
1958,Soviet Union,Sputnik 3,Moon,Success,Contained 12 instruments for a wide range of upper atmosphere tests.,,May 15,,Sputnik
1958,USA,Vanguard 2B,Moon,Failed,The first production model of the series. Nominal flight until a guidance error was encountered on second stage burnout. Did not reach orbit.[1],NASA,May 28,,Vanguard SLV-1
1958,USA,Vanguard 2C,Moon,Failed,Premature second stage cutoff prevented third stage operation. Did not reach orbit.[1],NASA,June 26,,Vanguard SLV-2
1958,USA,Explorer 4,Moon,Success,Expanded data set of previous Explorer missions and collected data from Argus high-altitude nuclear explosions.[1],NASA,July 26,,Jupiter-C
